,PSP,ID,smiles_string
10401,,181,[*]c1ccc(C2(c3ccc(-c4cc(-c5ccccc5)c5cc(C6(c7ccc8nc([*])cc(-c9ccccc9)c8c7)c7ccccc7-c7ccccc76)ccc5n4)cc3)c3ccccc3-c3ccccc32)cc1
702,,182,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C1(F)F
8127,,183,[*]CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N[*]
8604,,184,[*]CCC(=O)Nc1ccc(Oc2ccc(NC(=O)CCN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1
12031,,185,[*]CC([*])[Si](C)(C)O[SiH](C)C
2118,,186,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*]
11079,,187,[*]C=Cc1cc(OCCCCCCCCCCCC)c([*])cc1OC
710,,188,[*]CCC=C([*])C
7090,,189,[*]CCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCCCCCC(=O)Nc2ccc(C(=O)O[*])cc2)cc1
4100,,190,[*]CC([*])(C(=O)O)C(=O)OCCCCCCCCCCCCCC
10682,,191,[*]Cc1cc(C23CC4CC(CC(C4)C2)C3)cc(CN([*])C)c1O
6247,,192,[*]c1ccc(Oc2ccc(-c3csc(N=Cc4ccc(OCCCCCCCCOc5ccc(C=Nc6nc([*])cs6)cc5OC)c(OC)c4)n3)cc2)cc1
928,,193,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc([*])cc4)cc3)cc2)cc1
484,,194,[*]CC([*])(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
5072,,195,[*]Oc1ccc(Oc2ccc(S(=O)c3ccc(Oc4ccc(Oc5cccc([*])n5)cc4)cc3)cc2)cc1
7444,,196,[*]CCN(CCOC(=O)c1cc(OCCC2CCN(c3ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc3)CC2)cc(C(=O)O[*])c1)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
3909,,197,[*]C=CC1CC([*])C(C(=O)Oc2ccccc2)C1
4953,,198,[*]CCCCCCCCCOc1ccc(OCc2ccc(COc3ccc(O[*])cc3)cc2)cc1
8723,,199,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1
2030,,200,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)c(CCCC)c2)cc1CCCC
